title,type,virtualsite_url,domain/subject
Disentangling the Roles of Distinct Cell Classes with Cell-Type Dynamical Systems,,https://neurips.cc//virtual/2024/poster/96294,biology
Parametric model reduction of mean-field and stochastic systems via higher-order action matching,,https://neurips.cc//virtual/2024/poster/93463,physics
Spiking Token Mixer:  An event-driven friendly Former structure for spiking neural networks,,https://neurips.cc//virtual/2024/poster/93999,neuroscience
Capturing the denoising effect of PCA via compression ratio,,https://neurips.cc//virtual/2024/poster/94592,biology
Divergences between Language Models and Human Brains,,https://neurips.cc//virtual/2024/poster/96072,neuroscience
Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,,https://neurips.cc//virtual/2024/poster/94796,physics
Amortized Active Causal Induction with Deep Reinforcement Learning,,https://neurips.cc//virtual/2024/poster/96475,biology
"Me, Myself, and AI: The Situational Awareness Dataset (SAD) for LLMs",,https://neurips.cc//virtual/2024/poster/97669,social_science
Toward a Well-Calibrated Discrimination via Survival Outcome-Aware Contrastive Learning,,https://neurips.cc//virtual/2024/poster/94964,medical
FasMe: Fast and Sample-efficient Meta Estimator for Precision Matrix Learning in Small Sample Settings,,https://neurips.cc//virtual/2024/poster/93163,medical
Navigating Chemical Space with Latent Flows,,https://neurips.cc//virtual/2024/poster/94584,chemistry
Dynamics of Supervised and Reinforcement Learning in the Non-Linear Perceptron,,https://neurips.cc//virtual/2024/poster/94317,neuroscience
Cooperate or Collapse:  Emergence of Sustainable Cooperation in a Society of LLM Agents,,https://neurips.cc//virtual/2024/poster/96895,social_science
Not so griddy: Internal representations of RNNs path integrating more than one agent,,https://neurips.cc//virtual/2024/poster/94311,neuroscience
Exploring the trade-off between deep-learning and explainable models for brain-machine interfaces,,https://neurips.cc//virtual/2024/poster/94983,neuroscience
SMART: Towards Pre-trained Missing-Aware Model for Patient Health Status Prediction,,https://neurips.cc//virtual/2024/poster/96447,medical
S-MolSearch: 3D Semi-supervised Contrastive Learning for Bioactive Molecule Search,,https://neurips.cc//virtual/2024/poster/93161,biology
Gene-Gene Relationship Modeling Based on Genetic Evidence for Single-Cell RNA-Seq Data Imputation,,https://neurips.cc//virtual/2024/poster/94136,biology
realSEUDO for real-time calcium imaging analysis,,https://neurips.cc//virtual/2024/poster/94683,neuroscience
Neuro-Vision to Language: Enhancing Brain Recording-based Visual Reconstruction and Language Interaction,,https://neurips.cc//virtual/2024/poster/93607,neuroscience
Unified Insights: Harnessing Multi-modal Data for Phenotype Imputation via View Decoupling,,https://neurips.cc//virtual/2024/poster/96387,medical
Multi-view Masked Contrastive Representation Learning for Endoscopic Video Analysis,,https://neurips.cc//virtual/2024/poster/96870,medical
MutaPLM: Protein Language Modeling for Mutation Explanation and Engineering,,https://neurips.cc//virtual/2024/poster/92987,biology
Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,,https://neurips.cc//virtual/2024/poster/92957,neuroscience
AsEP: Benchmarking Deep Learning Methods for Antibody-specific Epitope Prediction,,https://neurips.cc//virtual/2024/poster/97702,biology
Understanding the Limits of Vision Language Models Through the Lens of the Binding Problem,,https://neurips.cc//virtual/2024/poster/95266,neuroscience
Matching the Statistical Query Lower Bound for $k$-Sparse Parity Problems with Sign Stochastic Gradient Descent,,https://neurips.cc//virtual/2024/poster/96024,neuroscience
Beyond Single Stationary Policies: Meta-Task Players as Naturally Superior Collaborators,,https://neurips.cc//virtual/2024/poster/95801,social_science
Unraveling Molecular Structure: A Multimodal Spectroscopic Dataset for Chemistry,,https://neurips.cc//virtual/2024/poster/97441,chemistry
Copycats: the many lives of a publicly available medical imaging dataset,,https://neurips.cc//virtual/2024/poster/97652,medical
GV-Rep: A Large-Scale Dataset for Genetic Variant Representation Learning,,https://neurips.cc//virtual/2024/poster/97813,biology
Flexible Context-Driven Sensory Processing in Dynamical Vision Models,,https://neurips.cc//virtual/2024/poster/96746,neuroscience
Flexible mapping of abstract domains by grid cells via self-supervised extraction and projection of generalized velocity signals,,https://neurips.cc//virtual/2024/poster/94041,neuroscience
Flexible task abstractions emerge in linear networks with fast and bounded units,,https://neurips.cc//virtual/2024/poster/96245,neuroscience
Flex-MoE: Modeling Arbitrary Modality Combination via the Flexible Mixture-of-Experts,,https://neurips.cc//virtual/2024/poster/93993,medical
FlexMol: A Flexible Toolkit for Benchmarking Molecular Relational Learning,,https://neurips.cc//virtual/2024/poster/97484,biology
Can LLMs Solve Molecule Puzzles? A Multimodal Benchmark for Molecular Structure Elucidation,,https://neurips.cc//virtual/2024/poster/97472,chemistry
"Towards a ""Universal Translator"" for Neural Dynamics at Single-Cell, Single-Spike Resolution",,https://neurips.cc//virtual/2024/poster/93693,neuroscience
Few-shot Algorithms for Consistent Neural Decoding (FALCON) Benchmark,,https://neurips.cc//virtual/2024/poster/97780,neuroscience
