title,type,virtualsite_url,domain/subject
FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,,https://neurips.cc//virtual/2024/poster/94352,social_science
Disentangling the Roles of Distinct Cell Classes with Cell-Type Dynamical Systems,,https://neurips.cc//virtual/2024/poster/96294,biology
Parametric model reduction of mean-field and stochastic systems via higher-order action matching,,https://neurips.cc//virtual/2024/poster/93463,physics
Pard: Permutation-Invariant Autoregressive Diffusion for Graph Generation,,https://neurips.cc//virtual/2024/poster/93104,chemistry
Active learning of neural population dynamics using two-photon holographic optogenetics,,https://neurips.cc//virtual/2024/poster/93697,neuroscience
Spike-based Neuromorphic Model for Sound Source Localization,,https://neurips.cc//virtual/2024/poster/96112,neuroscience
Spiking Graph Neural Network on Riemannian Manifolds,,https://neurips.cc//virtual/2024/poster/94910,neuroscience
Spiking Neural Network as Adaptive Event Stream Slicer,,https://neurips.cc//virtual/2024/poster/96133,neuroscience
Spiking Token Mixer:  An event-driven friendly Former structure for spiking neural networks,,https://neurips.cc//virtual/2024/poster/93999,neuroscience
Spiking Transformer with Experts Mixture,,https://neurips.cc//virtual/2024/poster/94824,neuroscience
Off-Policy Selection for Initiating Human-Centric Experimental Design,,https://neurips.cc//virtual/2024/poster/93365,medical
Capturing the denoising effect of PCA via compression ratio,,https://neurips.cc//virtual/2024/poster/94592,biology
CARE: a Benchmark Suite for the Classification and Retrieval of Enzymes,,https://neurips.cc//virtual/2024/poster/97712,biology
Divergences between Language Models and Human Brains,,https://neurips.cc//virtual/2024/poster/96072,neuroscience
Monomial Matrix Group Equivariant Neural Functional Networks,,https://neurips.cc//virtual/2024/poster/93437,neuroscience
Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,,https://neurips.cc//virtual/2024/poster/94796,physics
Empowering Active Learning for 3D Molecular Graphs with Geometric Graph Isomorphism,,https://neurips.cc//virtual/2024/poster/95817,chemistry
Image-aware Evaluation of Generated Medical Reports,,https://neurips.cc//virtual/2024/poster/94257,medical
Amnesia as a Catalyst for Enhancing Black Box Pixel Attacks in Image Classification and Object Detection,,https://neurips.cc//virtual/2024/poster/95435,physics
Amortized Active Causal Induction with Deep Reinforcement Learning,,https://neurips.cc//virtual/2024/poster/96475,biology
Panacea: Pareto Alignment via Preference Adaptation for LLMs,,https://neurips.cc//virtual/2024/poster/94149,social_science
Quadratic Quantum Variational Monte Carlo,,https://neurips.cc//virtual/2024/poster/93844,physics
Slack-Free Spiking Neural Network Formulation for Hypergraph Minimum Vertex Cover,,https://neurips.cc//virtual/2024/poster/96690,neuroscience
SLED: Self Logits Evolution Decoding for Improving Factuality in Large Language Models,,https://neurips.cc//virtual/2024/poster/93358,biology
"Me, Myself, and AI: The Situational Awareness Dataset (SAD) for LLMs",,https://neurips.cc//virtual/2024/poster/97669,social_science
Approximating mutual information of high-dimensional variables using learned representations,,https://neurips.cc//virtual/2024/poster/95842,biology
A probability contrastive learning framework for 3D molecular representation learning,,https://neurips.cc//virtual/2024/poster/95825,chemistry
Toward a Well-Calibrated Discrimination via Survival Outcome-Aware Contrastive Learning,,https://neurips.cc//virtual/2024/poster/94964,medical
FasMe: Fast and Sample-efficient Meta Estimator for Precision Matrix Learning in Small Sample Settings,,https://neurips.cc//virtual/2024/poster/93163,medical
Nature-Inspired Local Propagation,,https://neurips.cc//virtual/2024/poster/94312,physics
Navigating Chemical Space with Latent Flows,,https://neurips.cc//virtual/2024/poster/94584,chemistry
Graph Diffusion Transformers for Multi-Conditional Molecular Generation,,https://neurips.cc//virtual/2024/poster/94402,chemistry
Neural Network Reparametrization for Accelerated Optimization in Molecular Simulations,,https://neurips.cc//virtual/2024/poster/95938,biology
Object segmentation from common fate: Motion energy processing enables human-like zero-shot generalization to random dot stimuli,,https://neurips.cc//virtual/2024/poster/95285,neuroscience
Dynamics of Supervised and Reinforcement Learning in the Non-Linear Perceptron,,https://neurips.cc//virtual/2024/poster/94317,neuroscience
E2ENet: Dynamic Sparse Feature Fusion for Accurate and Efficient 3D Medical Image Segmentation,,https://neurips.cc//virtual/2024/poster/94743,neuroscience
Cooperate or Collapse:  Emergence of Sustainable Cooperation in a Society of LLM Agents,,https://neurips.cc//virtual/2024/poster/96895,social_science
Not so griddy: Internal representations of RNNs path integrating more than one agent,,https://neurips.cc//virtual/2024/poster/94311,neuroscience
Lips Are Lying: Spotting the Temporal Inconsistency between Audio and Visual in Lip-Syncing DeepFakes,,https://neurips.cc//virtual/2024/poster/93027,biology
LLaMo: Large Language Model-based Molecular Graph Assistant,,https://neurips.cc//virtual/2024/poster/94836,chemistry
Exploring the trade-off between deep-learning and explainable models for brain-machine interfaces,,https://neurips.cc//virtual/2024/poster/94983,neuroscience
Designing Cell-Type-Specific Promoter Sequences Using Conservative Model-Based Optimization,,https://neurips.cc//virtual/2024/poster/96002,biology
Mixture of neural fields for heterogeneous reconstruction in cryo-EM,,https://neurips.cc//virtual/2024/poster/95007,biology
SMART: Towards Pre-trained Missing-Aware Model for Patient Health Status Prediction,,https://neurips.cc//virtual/2024/poster/96447,medical
S-MolSearch: 3D Semi-supervised Contrastive Learning for Bioactive Molecule Search,,https://neurips.cc//virtual/2024/poster/93161,biology
Gene-Gene Relationship Modeling Based on Genetic Evidence for Single-Cell RNA-Seq Data Imputation,,https://neurips.cc//virtual/2024/poster/94136,biology
realSEUDO for real-time calcium imaging analysis,,https://neurips.cc//virtual/2024/poster/94683,neuroscience
Neuronal Competition Groups with Supervised STDP for Spike-Based Classification,,https://neurips.cc//virtual/2024/poster/95890,neuroscience
Neuro-Vision to Language: Enhancing Brain Recording-based Visual Reconstruction and Language Interaction,,https://neurips.cc//virtual/2024/poster/93607,neuroscience
Unified Guidance for Geometry-Conditioned Molecular Generation,,https://neurips.cc//virtual/2024/poster/95815,chemistry
Unified Insights: Harnessing Multi-modal Data for Phenotype Imputation via View Decoupling,,https://neurips.cc//virtual/2024/poster/96387,medical
MutaPLM: Protein Language Modeling for Mutation Explanation and Engineering,,https://neurips.cc//virtual/2024/poster/92987,biology
